user,trip,overspeed,accel,decel,stop,start,dist,,,,,,
08ubFCItgmXZY4nkhvl5KpCSKR92,1597903429332 ,972,8,8,0,4,35065.73,,972,20,,27.71937159,0.57035744
08ubFCItgmXZY4nkhvl5KpCSKR92,1597941777778 ,914,7,4,0,1,37360.613,,914,12,,24.46426669,0.321193873
08ubFCItgmXZY4nkhvl5KpCSKR92,1597989791301 ,878,6,10,1,5,34795.34,,878,22,,25.23326399,0.632268574
08ubFCItgmXZY4nkhvl5KpCSKR92,1598026449769 ,1134,7,6,0,0,37702.996,,1134,13,,30.07718538,0.344800185
08ubFCItgmXZY4nkhvl5KpCSKR92,1598055309446 ,781,15,8,0,2,11092.059,,781,25,,70.41073258,2.253864679
08ubFCItgmXZY4nkhvl5KpCSKR92,1598075983885 ,2675,12,10,0,2,35187.355,,2675,24,,76.02162766,0.682063201
08ubFCItgmXZY4nkhvl5KpCSKR92,1598112541107 ,789,8,6,0,1,37539.6,,789,15,,21.0178052,0.399578046
08ubFCItgmXZY4nkhvl5KpCSKR92,1598142229651 ,1115,12,8,0,4,79533.164,,1115,24,,14.01930898,0.301760911
08ubFCItgmXZY4nkhvl5KpCSKR92,1598157398215 ,899,18,9,2,11,77895.64,,899,40,,11.5410824,0.51350756
08ubFCItgmXZY4nkhvl5KpCSKR92,1598228965566 ,228,25,17,1,4,114856.586,,228,47,,1.985084251,0.409205964
08ubFCItgmXZY4nkhvl5KpCSKR92,1598250639396 ,819,14,8,0,1,22306.283,,819,23,,36.71611268,1.031099623
08ubFCItgmXZY4nkhvl5KpCSKR92,1598254759102 ,1000,12,12,1,5,82759.78,,1000,30,,12.08316407,0.362494922
08ubFCItgmXZY4nkhvl5KpCSKR92,1598632875066 ,968,6,4,0,2,37180.26,,968,12,,26.03532089,0.322751912
08ubFCItgmXZY4nkhvl5KpCSKR92,1598854190787 ,360,9,7,0,0,34790.395,,360,16,,10.34768361,0.459897049
08ubFCItgmXZY4nkhvl5KpCSKR92,1598890424820 ,1165,7,6,1,1,37513.29,,1165,15,,31.05566054,0.39985829
08ubFCItgmXZY4nkhvl5KpCSKR92,1598939899818 ,1022,6,10,0,3,35345.41,,1022,19,,28.91464549,0.537552118
08ubFCItgmXZY4nkhvl5KpCSKR92,1598976527055 ,295,6,15,1,2,37881.074,,295,24,,7.787529995,0.633561762
08ubFCItgmXZY4nkhvl5KpCSKR92,1599026435642 ,799,5,5,1,4,35591.098,,799,15,,22.44943384,0.421453702
08ubFCItgmXZY4nkhvl5KpCSKR92,1599063806638 ,943,2,2,1,4,36265.9,,943,9,,26.00238792,0.248167011
08ubFCItgmXZY4nkhvl5KpCSKR92,1599113368489 ,1074,4,3,0,1,34715.74,,1074,8,,30.93697556,0.230443021
08ubFCItgmXZY4nkhvl5KpCSKR92,1599372530132 ,1557,13,3,0,1,19214.65,,1557,17,,81.03192096,0.88474159
08ubFCItgmXZY4nkhvl5KpCSKR92,1599379069059 ,2673,11,1,0,4,16618.1,,2673,16,,160.8487132,0.962805616
08ubFCItgmXZY4nkhvl5KpCSKR92,1599458801905 ,975,3,7,1,4,34895.895,,975,15,,27.94024913,0.429849987
08ubFCItgmXZY4nkhvl5KpCSKR92,1599496710380 ,1126,10,4,0,1,37183.945,,1126,15,,30.28188644,0.403399908
08ubFCItgmXZY4nkhvl5KpCSKR92,1599542789048 ,937,24,8,0,2,33094.375,,937,34,,28.31296859,1.027364922
08ubFCItgmXZY4nkhvl5KpCSKR92,1599550263337 ,896,7,8,1,6,12656.075,,896,22,,70.79604064,1.738295641
08ubFCItgmXZY4nkhvl5KpCSKR92,1599616263171 ,1107,16,9,0,4,36372.418,,1107,29,,30.43515006,0.797307454
08ubFCItgmXZY4nkhvl5KpCSKR92,1599930099902 ,291,8,5,0,1,37610.27,,291,14,,7.737248363,0.372238753
08ubFCItgmXZY4nkhvl5KpCSKR92,1600043679113 ,950,6,4,0,3,34666.383,,950,13,,27.40407039,0.375003069
08ubFCItgmXZY4nkhvl5KpCSKR92,1600149387014 ,855,8,11,0,4,35221.91,,855,23,,24.27466313,0.653002634
08ubFCItgmXZY4nkhvl5KpCSKR92,1600186843260 ,1007,8,7,0,1,37214.51,,1007,16,,27.05933788,0.429939827
08ubFCItgmXZY4nkhvl5KpCSKR92,1600446216608 ,946,10,6,0,2,37309.137,,946,18,,25.35571916,0.482455544
08ubFCItgmXZY4nkhvl5KpCSKR92,1600754326761 ,1094,15,3,1,6,12400.025,,1094,25,,88.22562858,2.016124967
08ubFCItgmXZY4nkhvl5KpCSKR92,1600840313210 ,1121,10,10,0,1,35075.227,,1121,21,,31.95987869,0.59871316
08ubFCItgmXZY4nkhvl5KpCSKR92,1600875786469 ,298,6,5,0,3,25430.725,,298,14,,11.71810871,0.550515174
08ubFCItgmXZY4nkhvl5KpCSKR92,1600927254630 ,1119,6,8,0,2,35115.758,,1119,16,,31.86603576,0.4556359
08ubFCItgmXZY4nkhvl5KpCSKR92,1601139099112 ,1063,6,10,0,4,37522.543,,1063,20,,28.3296364,0.533012914
08ubFCItgmXZY4nkhvl5KpCSKR92,1601272334563 ,472,6,9,0,1,35279.31,,472,16,,13.37894647,0.453523609
08ubFCItgmXZY4nkhvl5KpCSKR92,1601316650026 ,1046,7,8,1,2,37272.13,,1046,18,,28.06386434,0.482934568
08ubFCItgmXZY4nkhvl5KpCSKR92,1601358947345 ,247,8,7,0,3,35143.46,,247,18,,7.028334717,0.512186336
08ubFCItgmXZY4nkhvl5KpCSKR92,1601654546113 ,1035,1,0,0,2,34380.41,,1035,3,,30.10435303,0.087258994
08ubFCItgmXZY4nkhvl5KpCSKR92,1601705065866 ,1047,9,6,0,2,34822.953,,1047,17,,30.06637605,0.488183756
08ubFCItgmXZY4nkhvl5KpCSKR92,1601749514980 ,245,4,1,0,1,37474.086,,245,6,,6.53785125,0.160110643
08ubFCItgmXZY4nkhvl5KpCSKR92,1601877997163 ,2316,14,11,0,4,35119.707,,2316,29,,65.94588047,0.825747208
08ubFCItgmXZY4nkhvl5KpCSKR92,1601916738687 ,730,8,11,0,1,39583.344,,730,20,,18.44210029,0.505263022
08ubFCItgmXZY4nkhvl5KpCSKR92,1601964099835 ,853,9,12,2,3,34927.2,,853,26,,24.4222268,0.744405506
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597886296281 ,150,33,21,2,15,18348.717,,150,71,,8.1749585,3.869480357
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597967847348 ,3133,35,10,2,9,11949.253,,3133,56,,262.192122,4.686485423
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598003054605 ,434,24,7,4,11,12160.247,,434,46,,35.69006452,3.782817898
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598039301967 ,2643,27,17,1,4,86175.4,,2643,49,,30.67000559,0.568607747
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598055357027 ,165,37,14,2,1,88782.6,,165,54,,1.858472268,0.608227288
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598079581513 ,173,24,11,1,4,14867.922,,173,40,,11.63578878,2.690355787
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598087623345 ,410,20,5,0,6,20616.715,,410,31,,19.88677634,1.503634308
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598096192280 ,315,16,6,0,7,10401.258,,315,29,,30.28479824,2.788124283
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598165804395 ,497,21,13,0,7,18775.254,,497,41,,26.47101339,2.183725451
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598175333446 ,302,21,19,1,5,19037.451,,302,46,,15.86346828,2.41628987
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598227819739 ,159,29,12,2,13,12012.009,,159,56,,13.23675332,4.662001169
